"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Tepera, Ryan","572193","2021","241",30.7,8.3,".230",".248",27.3,8.4,35,"76.343707429","93.168553071",35.1,48.9
"Greene, Shane","572888","2021","113",21.2,12.4,".381",".318",28.2,11.3,40.8,"79.328394722","94.515395352",22.4,42.9
"Johnson, Pierce","572955","2021","244",31.6,11.1,".292",".284",36,7.2,35.3,"80.062837826","93.257119562",30.1,44.9
"Keuchel, Dallas","572971","2021","720",13.2,8.2,".356",".372",34.4,9,39.8,"76.12819018","94.346269387",21,44.2
"Mantiply, Joe","573009","2021","177",21.5,9.6,".338",".306",35.5,5.8,36.4,"73.627826552","93.985117739",27.6,48.5
"Northcraft, Aaron","573062","2021","34",14.7,23.5,".336",".433",33.3,14.3,61.9,"80.453605455","97.009242857",22.8,44.2
"Ramos, AJ","573109","2021","16",18.8,12.5,".086",".161",18.2,0,18.2,"73.924415","90.562402727",31,46.8
"Rogers, Taylor","573124","2021","166",35.5,4.8,".275",".246",34.3,7.1,36.4,"75.490806667","94.017302083",29.3,49.4
"Rosscup, Zac","573127","2021","13",30.8,7.7,".398",".398",28.6,14.3,57.1,"87.20541","96.931347143",32,52.1
"Stroman, Marcus","573186","2021","729",21.7,5.9,".284",".318",33.6,6.5,42,"77.468444661","94.596511195",26.7,48.5
"Thielbar, Caleb","573204","2021","266",28.9,7.5,".300",".303",32.5,12,39.2,"76.881475185","94.157575528",26.3,49.5
"Minaya, Juan","573668","2021","167",25.7,12,".280",".287",30.4,5.9,42.2,"78.8246306","94.616371717",25.9,48.7
"Kikuchi, Yusei","579328","2021","666",24.5,9.3,".325",".346",37.4,11,47,"81.841853023","95.503867744",27.7,48.5
"Adam, Jason","592094","2021","50",38,12,".354",".290",31.8,9.1,36.4,"74.721514545","93.648026364",34,43.1
"Bedrosian, Cam","592135","2021","116",19.8,14.7,".371",".373",34.2,11.8,42.1,"75.522466579","94.298147368",24.1,46.2
"Biddle, Jesse","592145","2021","51",21.6,15.7,".345",".331",33.3,10,30,"79.944643571","93.604604286",20.8,38.7
"Brennan, Brandon","592165","2021","11",9.1,18.2,".366",".333",37.5,0,37.5,"85.46661","94.483515",35,47.6
"Brice, Austin","592169","2021","64",18.8,10.9,".371",".350",22,9.8,51.2,"85.736972381","95.269247073",20.7,44.2
"Claudio, Alex","592222","2021","148",20.3,10.1,".358",".332",33,6.8,40.8,"77.130348824","93.487484608",25.8,42.9
"Crichton, Stefan","592233","2021","117",14.5,10.3,".386",".344",22.6,6,45.2,"79.678272619","95.156454643",15.4,43.4
"De León, José","592254","2021","91",36.3,12.1,".381",".343",46.7,15.6,44.4,"76.652645652","94.823048222",33.1,47
"Emanuel, Kent","592288","2021","68",19.1,5.9,".273",".280",24,6,24,"77.6298384","92.178441224",13.7,42.5
"Foltynewicz, Mike","592314","2021","586",16.6,6.1,".355",".349",37.2,9.2,43,"78.83503621","94.822570228",18.3,47.4
"Gausman, Kevin","592332","2021","775",29.3,6.5,".265",".290",30.6,7.1,40.9,"77.914911777","94.447687867",31.3,52.4
"González, Chi Chi","592346","2021","448",12.5,6.3,".381",".386",39.9,8.9,45,"79.206984571","94.968648257",16.1,48.5
"Gray, Jon","592351","2021","644",24.4,9,".320",".305",30.4,6.9,38.2,"77.826462115","94.242232699",26.7,45.3
"Hembree, Heath","592390","2021","243",34.2,9.9,".306",".275",29.9,10.4,41,"78.915142537","93.863133835",27.7,48.3
"Jackson, Luke","592426","2021","261",26.8,11.1,".270",".313",28.7,8.1,41.3,"80.214174177","94.839252342",30.5,47.6
"Kickham, Mike","592464","2021","12",16.7,8.3,".608",".339",12.5,0,62.5,"91.080415","97.8121825",29.2,53.3
"Kolarek, Adam","592473","2021","51",7.8,9.8,".407",".356",19.5,7.3,34.1,"79.82766","94.419103947",12.7,41.6
"Osich, Josh","592612","2021","60",15,8.3,".359",".284",23.9,2.2,34.8,"74.179414783","92.981606522",21.7,45.9
"Plutko, Adam","592644","2021","255",17.3,10.6,".408",".383",38.7,11.6,39.8,"81.921702667","94.700687444",24.2,47.6
"Ray, Robbie","592662","2021","773",32.1,6.7,".287",".293",34.3,9.8,43.1,"79.567923906","94.918518906",32.3,52
"Sampson, Adrian","592716","2021","145",19.3,5.5,".329",".339",31.1,11.7,42.7,"77.678274118","94.615068824",21.3,50
"Sanchez, Aaron","592717","2021","156",16.7,9.6,".296",".302",27.9,4.5,36,"74.5330925","93.353817568",20.4,42.9
"Shreve, Chasen","592741","2021","235",19.1,11.9,".298",".301",34.2,6.8,30.4,"78.823233875","92.673656415",24.3,48
"Smith, Caleb","592761","2021","500",24.8,12.6,".317",".313",36.3,8.5,29.1,"76.071030066","92.770687417",27.1,46.2
"Smyly, Drew","592767","2021","546",21.4,7.5,".342",".342",36.1,10.1,39,"77.570068449","94.218153797",24.9,49.9
"Stanek, Ryne","592773","2021","290",28.6,12.8,".276",".311",37,9.7,43.6,"81.003611707","94.88812362",32.6,47.3
"Taillon, Jameson","592791","2021","603",23.2,7.3,".309",".304",33.9,8.2,40.4,"78.104083561","94.067212738",26.4,50.8
"Velasquez, Vince","592826","2021","417",24.2,11.8,".368",".348",37.4,12.2,43.5,"80.561772538","94.829412462",26.9,47
"Wade, Konner","592831","2021","64",17.2,7.8,".442",".366",35.4,8.3,43.8,"78.808395","95.070738333",22,47.6
"Walker, Taijuan","592836","2021","654",22.3,8.4,".301",".328",30.5,10,39.4,"78.125196864","94.202828841",23.4,46.2
"Wick, Rowan","592858","2021","100",29,14,".271",".298",38.2,5.5,30.9,"73.845287857","92.604614727",29.5,41.5
"Williams, Taylor","592865","2021","55",16.4,14.5,".359",".350",33.3,5.6,47.2,"81.579246667","95.068142778",25.5,44.7
"Williams, Trevor","592866","2021","405",22.2,7.7,".348",".324",34.3,7.1,37.9,"78.168134307","94.23577708",23.9,48.9
"Wojciechowski, Asher","592879","2021","19",21.1,15.8,".384",".333",54.5,18.2,27.3,"84.479518333","93.121313636",20.6,41
"Feliz, Michael","593140","2021","90",24.4,7.8,".374",".380",41,9.8,47.5,"80.752265484","95.345311311",29.1,48.4
"Rodríguez, Richard","593144","2021","251",16.7,4,".264",".319",31.5,9.1,44.2,"82.85369899","94.582324924",20.2,52.9
"Germán, Domingo","593334","2021","410",23.9,6.6,".306",".311",34.3,7.8,39.2,"78.834008652","94.131471844",30.2,50.3
"Martinez, Carlos","593372","2021","363",15.7,9.9,".321",".368",30.9,8.5,42.5,"78.790926142","94.831210435",18.4,46.2
"Montas, Frankie","593423","2021","778",26.6,7.3,".290",".307",34.4,8.7,42.3,"77.996835422","94.578879859",29.6,50.5
"Neris, Héctor","593576","2021","310",31.6,10.3,".292",".266",27.3,6.3,35.8,"74.201082299","93.562702701",34.4,49.4
"Baldonado, Alberto","593604","2021","49",24.5,14.3,".354",".378",46.7,13.3,26.7,"77.522341333","92.713845517",31.9,42.3
"Tapia, Domingo","593619","2021","135",19.3,11.1,".255",".303",34,4.3,42.6,"80.074276809","94.21224129",20.8,42.5
"Suero, Wander","593833","2021","190",23.2,7.9,".361",".354",37,10.2,43.3,"77.239476719","94.637742677",25.5,49.5
"Rodriguez, Eduardo","593958","2021","675",27.4,7,".330",".288",37.4,6.8,33.6,"74.680898539","93.136941396",26.3,48.7
"Peralta, Wandy","593974","2021","219",19.6,9.6,".309",".310",28.6,7.8,29.8,"73.372657297","92.977123311",32.1,50.1
"Guduan, Reymin","594056","2021","65",7.7,7.7,".355",".410",47.3,9.1,40,"81.149031111","94.51831963",19.6,48.9
"Gustave, Jandel","594311","2021","79",16.5,6.3,".270",".336",38.6,7,36.8,"78.216038929","94.091987857",17.1,47.6
"Mayers, Mike","594577","2021","315",28.6,8.3,".323",".299",32.7,8.2,41.8,"81.382181263","94.756906561",29.2,48
"Moll, Sam","594580","2021","44",18.2,11.4,".297",".314",27.6,10.3,37.9,"78.963270714","94.902894444",16.7,35.9
"Dayton, Grant","594795","2021","62",22.6,11.3,".351",".320",36.6,4.9,39,"77.2430455","94.200429231",26.7,48
"deGrom, Jacob","594798","2021","324",45.1,3.4,".174",".189",30.1,6.6,36.7,"76.156049639","93.827051928",41.4,55.7
"Gonzales, Marco","594835","2021","585",18.5,7.2,".321",".341",37.4,11.4,37,"76.738034225","93.854091103",20.4,48
"Ponce de Leon, Daniel","594965","2021","159",15.1,14.5,".363",".353",33.6,6.5,37.4,"79.865091923","93.87742",21.6,46.7
"Rowen, Ben","594985","2021","49",16.3,4.1,".363",".316",37.8,10.8,29.7,"78.337901053","93.060555405",14.6,41.4
"Ryan, Kyle","594986","2021","62",12.9,9.7,".393",".367",33.3,8.3,52.1,"77.129759565","96.039524348",17,39.1
"Sadler, Casey","594987","2021","145",25.5,6.9,".185",".241",18.6,3.1,30.9,"73.45431898","92.780250928",23.7,44.2
"Treinen, Blake","595014","2021","286",29.7,8.7,".233",".243",20.2,2.3,27.2,"69.733031395","92.438669244",28.9,48.9
"Eickhoff, Jerad","595191","2021","104",12.5,9.6,".462",".453",46.2,14.1,47.4,"81.361865263","95.859474605",17.6,49.3
"Jannis, Mickey","595263","2021","21",4.8,19,".662",".699",56.3,31.3,62.5,"85.480115","97.99040375",0,33.8
"Okert, Steven","595345","2021","142",28.2,10.6,".281",".273",27.7,7.2,36.1,"75.208892927","93.223744268",30.2,47.4
"Sherriff, Ryan","595411","2021","72",22.2,12.5,".313",".309",32.6,4.7,27.9,"73.207652273","93.147642093",24.8,40.6
"Winkler, Dan","595465","2021","190",21.1,15.8,".336",".333",37.8,8.1,25.2,"72.378936364","92.474786422",25.7,48.4
"Alaniz, R.J.","595798","2021","13",23.1,23.1,".370",".489",33.3,16.7,50,"79.995973333","93.792711667",22.2,38
"Cole, A.J.","595918","2021","30",23.3,3.3,".261",".291",50,13.6,40.9,"83.171014545","94.040268636",27.6,50.9
"Curtiss, John","595928","2021","187",23.5,6.4,".303",".303",33.1,6.2,43.8,"82.774014923","94.837502326",27.2,49.6
"Ellis, Chris","595939","2021","121",19,11.6,".284",".352",41.5,12.2,52.4,"82.819780732","96.011889383",25.9,46.5
"Junis, Jakob","596001","2021","168",24.4,7.1,".336",".356",39.1,12.2,43.5,"81.058057586","95.206961652",25.4,45.1
"Maples, Dillon","596027","2021","139",28.8,18,".285",".322",30.3,6.1,42.4,"74.713269697","93.535832424",30.5,34.9
"Morimando, Shawn","596049","2021","54",16.7,9.3,".445",".333",32.5,7.5,35,"79.9807605","93.861075",18.9,47.7
"Nogowski Jr., John","596056","2021","16",0,0,".508",".358",37.5,6.3,31.3,"83.33356375","92.788461875",4.3,65.7
"Norris, Daniel","596057","2021","248",23.4,12.1,".340",".317",31,6.3,45.6,"83.471416923","95.301345064",27,45.3
"Peters, Dillon","596071","2021","117",19.7,8.5,".316",".321",30.1,9.6,41,"77.473991667","94.205644578",24.5,51.7
"Reed, Jake","596082","2021","43",23.3,4.7,".268",".307",41.9,9.7,35.5,"80.366155333","94.821354333",26.7,46.9
"Stephenson, Robert","596112","2021","197",26.4,9.1,".313",".306",32,7.2,36.8,"79.170627419","93.783229512",26.9,46.5
"Weaver, Luke","596133","2021","275",22.5,7.3,".317",".328",36.1,9.4,41.4,"79.950894149","94.551155266",23.6,51.3
"Gomber, Austin","596295","2021","488",23.2,8.4,".309",".309",32.9,9.4,33.8,"77.18535865","93.483660585",25.9,46.4
"Johnson, DJ","597113","2021","15",33.3,0,".192",".307",40,10,50,"75.78331","95.841638889",35.3,47.2
"Barnes, Matt","598264","2021","222",37.8,9,".278",".256",23.3,9.5,41.4,"79.389660172","94.57437319",33.7,47.1
"Ramirez, Nick","598286","2021","91",15.4,7.7,".312",".302",38.6,4.3,34.3,"77.952069714","92.948665714",21.2,48.1
"Ramirez, Noé","598287","2021","147",19.7,8.2,".246",".265",31.1,4.9,28.2,"79.775197843","92.683077426",24.3,46.3
"Del Pozo, Miguel","600887","2021","25",16,8,".380",".333",42.1,5.3,26.3,"78.278552","92.812870526",18.9,46.3
"Machado, Andrés","600921","2021","154",19.5,9.7,".307",".305",27.9,6.7,36.5,"77.932695","94.295910291",22.7,45
"Pivetta, Nick","601713","2021","661",26.5,9.8,".316",".301",33.4,8.2,40.4,"79.550170728","94.069247816",24.6,48.1
"Barlow, Scott","605130","2021","306",29.7,9.2,".275",".282",33.5,8.1,36.8,"77.769648495","93.532555081",35,46.2
"Bassitt, Chris","605135","2021","637",25,6.1,".274",".286",32.9,6.5,33.2,"76.721820704","93.226240235",23.8,47.7
"Benjamin, Wes","605138","2021","112",17,15.2,".406",".366",39.5,9.2,36.8,"81.438589211","94.012474605",21,47.5
"Bradley, Archie","605151","2021","224",17.9,9.8,".324",".306",29.6,6.3,39,"74.554570759","93.712971329",17.7,47.2
"Brebbia, John","605154","2021","87",25.3,4.6,".379",".293",40.7,6.8,35.6,"80.988202414","93.663492586",23.2,54.5
"Bundy, Dylan","605164","2021","397",21.2,8.6,".348",".335",35.5,10.3,38.5,"78.73703163","93.937638",22.9,44.7
"Chafin, Andrew","605177","2021","266",24.1,7.1,".231",".269",31.5,6.1,33.7,"77.030864659","93.223669375",25.9,50.1
"Cotton, Jharel","605194","2021","137",21.9,10.9,".296",".272",27.8,5.6,23.3,"75.171588409","92.171966705",26.9,48.8
"Crick, Kyle","605195","2021","107",19.6,17.8,".281",".337",29,3.2,22.6,"73.691393667","91.549194167",27.6,40.1
"Davies, Zach","605200","2021","668",17.1,11.2,".366",".375",36.2,9.1,43.3,"78.663608783","94.683256863",22.3,43.2
"Edwards Jr., Carl","605218","2021","30",20,6.7,".516",".338",31.8,9.1,50,"78.366761818","95.019295",29.2,43.2
"Fry, Jace","605240","2021","31",9.7,19.4,".477",".388",14.3,0,33.3,"73.868125455","92.645289524",17.9,41.2
"Fulmer, Michael","605242","2021","297",24.6,6.7,".301",".301",33.2,6.5,35.2,"74.4308077","93.49345593",29.5,48.9
"Hess, David","605276","2021","102",17.6,10.8,".491",".429",40.3,15.3,50,"87.186483056","96.247814507",23.2,49.3
"Holmes, Clay","605280","2021","292",26.7,9.9,".262",".263",21,3.9,34.8,"75.825774111","93.272211844",27.4,41.8
"Houser, Adrian","605288","2021","599",17.5,10.7,".297",".312",28.1,5,36,"75.186798293","93.596799317",18.4,44.4
"Kela, Keone","605309","2021","48",27.1,6.3,".315",".311",37.5,12.5,40.6,"78.891848125","94.42286125",22.6,41.4
"López, Jorge","605347","2021","555",20.2,10.1,".369",".353",35,9.3,43.5,"77.778090802","95.190768235",20.6,43.7
"Marshall, Evan","605359","2021","113",23,8,".351",".289",33.3,10.3,33.3,"76.494561282","93.301735325",23.4,47.1
"Morgan, Adam","605388","2021","108",25.9,11.1,".348",".307",28.4,9,40.3,"74.102157941","94.304873433",32.8,44.8
"Musgrove, Joe","605397","2021","748",27.1,7.2,".284",".304",33.8,7.2,38.5,"76.746073648","93.540208734",29.3,46.9
"Nola, Aaron","605400","2021","749",29.8,5.2,".297",".283",33.3,7.1,37.4,"78.080159789","94.04703055",27.9,49.2
"Ríos, Yacksel","605441","2021","114",20.2,14,".303",".339",27.4,11,43.8,"72.846907297","94.388179726",25.5,43.7
"Romano, Jordan","605447","2021","253",33.6,9.9,".257",".250",25.4,9.2,33.8,"78.351422254","93.993889078",31.8,49.8
"Ross, Joe","605452","2021","460",23.7,7.4,".305",".316",34.6,8.4,37.2,"75.788991776","93.752968086",25,46.3
"Snell, Blake","605483","2021","550",30.9,12.5,".305",".335",39.3,11,41.2,"78.2789814","94.3982398",31.6,44.4
"Springs, Jeffrey","605488","2021","179",35.2,7.8,".302",".281",39.2,13.7,36.3,"76.4842694","93.421069192",36.2,46.7
"Thompson, Zach","605507","2021","315",21,8.9,".293",".295",28.4,6.9,34.4,"76.431275094","93.479085755",26.5,48.7
"Turnbull, Spencer","605513","2021","201",21.9,6,".250",".269",27.9,5,33.6,"77.915644638","93.260753333",23.3,49.3
"Warren, Art","605521","2021","82",41.5,9.8,".218",".200",33.3,2.6,28.2,"74.873332105","92.491847838",40.9,52.1
"Wendelken, J.B.","605525","2021","194",20.1,11.3,".310",".331",30.8,6.8,34.6,"76.414271212","93.861693435",23.7,47.4
"Wisler, Matt","605538","2021","195",31.8,5.6,".284",".252",33.9,5.8,25.6,"76.187515574","92.769397686",32,43.7
"Woodruff, Brandon","605540","2021","708",29.8,6.1,".252",".279",36,5.8,32.7,"73.412163318","93.487917153",28.2,51.1
"Wright Jr., Mike","605541","2021","81",13.6,13.6,".333",".362",26.3,10.5,35.1,"74.964206897","93.497961053",18.7,42.8
"Gallegos, Giovanny","606149","2021","310",30.6,6.5,".240",".272",34.9,10.1,38.6,"78.537478495","93.901212162",34.6,51.5
"Montero, Rafael","606160","2021","225",18.7,7.6,".340",".289",29.8,5,34.2,"75.251682278","93.072989367",23.2,50.5
"Payamps, Joel","606303","2021","205",18.5,6.8,".286",".266",28.9,5.3,30.3,"74.821998533","92.840038267",22.8,48.9
"García, Jarlín","606424","2021","269",25.3,6.7,".269",".280",35.4,7.2,40.3,"78.955383258","94.382465112",22.6,46.8
"Moronta, Reyes","606625","2021","13",15.4,0,".154",".242",9.1,9.1,18.2,"71.085021667","91.090451818",14.3,43.8
"Barnes, Jacob","606930","2021","128",25.8,8.6,".359",".319",25.3,9.6,39.8,"79.577259512","94.491593537",27.4,47.4
"Devenski, Chris","606965","2021","35",14.3,5.7,".422",".484",51.9,18.5,37,"79.942047143","94.06894963",25.8,45.5
"Rea, Colin","607067","2021","24",20.8,0,".381",".342",47.4,15.8,52.6,"82.577736","95.857958947",25,48.4
"Rodón, Carlos","607074","2021","534",34.6,6.7,".247",".254",29.9,6.6,36.2,"78.535401267","94.0230923",33.2,50.5
"Weems, Jordan","607179","2021","30",23.3,20,".440",".467",56.3,18.8,62.5,"85.46646125","97.930929375",23,45.5
"Faria, Jake","607188","2021","154",20.8,8.4,".359",".314",34.6,9.3,40.2,"81.248735769","93.781802692",23.2,42.6
"Glasnow, Tyler","607192","2021","340",36.2,7.9,".246",".258",31.1,8.9,46.8,"82.146215684","95.114392063",37,49.1
"Fedde, Erick","607200","2021","590",21.7,8.1,".340",".336",31.1,9.3,40.6,"78.493197525","94.762373089",21.9,44.9
"Krehbiel, Joey","607216","2021","34",20.6,14.7,".285",".287",22.7,9.1,27.3,"78.990015455","93.96726",23,45.9
"Romano, Sal","607219","2021","118",14.4,9.3,".362",".373",36,9,41.6,"79.604213778","93.924053371",13,42.3
"Gsellman, Robert","607229","2021","119",14.3,5.9,".302",".334",30.4,5.4,31.5,"74.489542609","93.191242308",21.3,50.6
"Gant, John","607231","2021","491",18.7,14.5,".321",".344",32,5.6,38.5,"79.723444331","94.336825687",24,43.3
"Garrett, Amir","607237","2021","215",28.4,13.5,".340",".321",29.6,9.6,47.2,"79.412563065","95.244069839",33.4,43.7
"Biagini, Joe","607352","2021","13",15.4,7.7,".264",".247",33.3,0,11.1,"57.1048225","90.1107375",18.8,39
"Patton, Spencer","607359","2021","172",27.9,8.7,".287",".269",31.2,4.6,28.4,"74.498688909","92.681326055",26.9,46
"Tropeano, Nick","607374","2021","34",5.9,8.8,".332",".343",31,3.4,31,"77.955145714","93.580563704",23.6,45.8
"Mazza, Chris","607391","2021","112",18.8,6.3,".306",".309",30.5,8.5,28,"74.080399512","92.434897317",28.4,50.4
"Banda, Anthony","607455","2021","153",20.9,8.5,".353",".292",38.7,4.7,36.8,"78.071937736","93.559333491",25.8,48.9
"Barraclough, Kyle","607457","2021","60",30,13.3,".373",".315",37.5,12.5,28.1,"76.265218125","93.627673548",30.8,43.7
"Blandino, Alex","607468","2021","18",5.6,22.2,".412",".363",15.4,7.7,30.8,"79.57145","92.180443077",12.5,44.4
"Bummer, Aaron","607481","2021","242",31,12,".257",".249",14.2,2.2,41.7,"75.353906308","94.860989846",31.9,42.4
"Freeland, Kyle","607536","2021","515",20.4,7.4,".349",".314",34.5,8.2,35.3,"77.517810387","93.669716713",21.1,46.2
"Harper, Ryne","607560","2021","148",20.9,9.5,".297",".292",31.7,6.9,28.7,"70.224138163","92.569051633",22.4,47.3
"Howard, Sam","607572","2021","200",30,16.5,".325",".314",29.8,8.7,30.8,"76.477340385","93.191187961",38,44.4
"Lugo, Seth","607625","2021","195",28.2,9.7,".305",".315",37.5,8.3,38.3,"78.700990508","94.074874701",31.1,47.1
"Means, John","607644","2021","590",22.7,4.4,".294",".309",37.1,10.1,37.8,"76.212260806","93.845537607",25.3,50.5
"Estévez, Carlos","608032","2021","270",22.2,7.8,".345",".320",33.2,7.5,39.6,"81.02691087","94.325384645",24.5,49.9
"De Jong, Chase","608328","2021","196",19.9,9.7,".391",".382",38,13.1,46.7,"80.796822206","95.063055441",22.2,47.1
"Fried, Max","608331","2021","667",23.7,6.1,".278",".288",31.2,6.3,34.3,"74.686843214","93.192413445",24.3,49
"Fulmer, Carson","608334","2021","116",20.7,11.2,".347",".341",32.9,11.8,43.4,"78.075560526","94.352792133",30.2,42.2
"Funkhouser, Kyle","608335","2021","298",21.1,12.8,".303",".315",25.8,4.6,36.6,"75.443123789","93.843491316",26.4,44.3
"Giolito, Lucas","608337","2021","719",28,7.1,".288",".280",37.4,6.7,34.2,"76.832555895","93.323217926",32.2,50.5
"Irvin, Cole","608344","2021","768",16.3,5.5,".323",".338",35.9,7.3,39.3,"78.890512423","94.048238838",19.2,52
"Knebel, Corey","608349","2021","101",29.7,8.9,".229",".264",35.5,4.8,27.4,"81.771852581","93.701057869",31.1,49.1
"Sims, Lucas","608371","2021","195",39,9.2,".281",".244",44.3,6.2,35.1,"74.598447292","93.26246",35.1,43.7
"Wacha, Michael","608379","2021","528",22.9,5.9,".334",".355",39.8,10.5,43,"78.633480815","94.870366576",23,53.6
"Márquez, Germán","608566","2021","756",23.3,8.5,".303",".310",32.5,5.3,39.3,"78.131276787","94.098144266",27,47.8
"Chargois, JT","608638","2021","216",24.5,9.3,".279",".298",34.3,7.3,36.5,"79.223644559","93.854828963",27.1,45.9
"Duffey, Tyler","608648","2021","254",24,11,".278",".300",28.2,5.5,45.4,"82.545762346","94.78576236",23.6,43.4
"Enns, Dietrich","608650","2021","88",28.4,6.8,".250",".249",33.3,1.8,33.3,"73.608381724","92.781497018",23.9,56.9
"Farrell, Luke","608652","2021","113",22.1,11.5,".363",".370",42.7,10.7,42.7,"81.328794737","95.191397067",29,44.4
"Graveman, Kendall","608665","2021","222",27.5,9,".248",".296",32.3,5.3,35.3,"75.798723731","93.725262481",25.6,44.9
"Leone, Dominic","608678","2021","219",22.8,10,".247",".284",27.6,4.1,40,"77.880964085","93.926545319",30.3,47.4
"Steckenrider, Drew","608716","2021","267",21.7,6.4,".264",".283",31.4,5.3,38.3,"82.101887234","94.110184545",20.5,49.8
"Stratton, Chris","608717","2021","337",25.5,9.8,".294",".299",34.1,6.9,36.9,"78.681734953","93.832564413",28.3,47.3
"Suter, Brent","608718","2021","313",22,7.7,".307",".297",30.6,5.9,34.7,"72.723467407","93.179919116",20.8,48.8
"Voth, Austin","608723","2021","248",23.8,11.3,".345",".371",40.6,11.3,41.3,"76.529631154","94.474446282",25.1,48.4
"Castro, Miguel","612434","2021","303",25.4,14.2,".286",".314",34.5,6.8,33.9,"73.682177955","93.182147371",32.6,41.8
"Adams, Austin","613534","2021","241",31.5,14.5,".297",".311",38.7,5.7,24.5,"76.080299808","91.761483398",34.2,40.4
"Ruiz, José","614179","2021","271",23.2,9.2,".281",".318",33.9,8.2,49.2,"83.213195385","95.182263481",24,48.7
"Quantrill, Cal","615698","2021","616",19.6,7.6,".296",".308",31.4,6.8,34.5,"76.458777056","93.412109321",21.9,47
"Sawamura, Hirokazu","617228","2021","232",26.3,13.4,".324",".316",29,10.9,42.8,"79.25044913","94.230087591",35,46.9
"Aguilar, Miguel","620396","2021","29",10.3,13.8,".299",".280",40.9,0,27.3,"73.208440909","92.271198571",15.4,50
"Reyes, Alex","621052","2021","317",30,16.4,".281",".288",32.1,4.8,34.5,"76.571980723","92.994908061",35,43.9
"Wood, Hunter","621056","2021","19",26.3,10.5,".244",".317",58.3,25,41.7,"82.138376667","94.436115",33.3,40.9
"Garza, Justin","621057","2021","128",22.7,14.1,".344",".390",44.4,13.6,53.1,"82.2031335","96.087125696",25.6,42.7
"Rucker, Michael","621074","2021","126",23.8,8.7,".360",".361",36.1,10.8,45.8,"81.208735476","94.702462289",30.3,49.8
"Kaprielian, James","621076","2021","502",24.5,8.2,".314",".324",37.5,9.3,42.3,"79.698083497","94.616206074",27.2,45.7
"Lail, Brady","621078","2021","10",10,0,".501",".284",33.3,11.1,22.2,"72.246936","91.59424",26.7,53.6
"Hanhold, Eric","621098","2021","47",12.8,6.4,".351",".373",35.1,5.4,48.6,"82.828163684","94.490888108",26.4,48.1
"Eflin, Zach","621107","2021","442",22.4,3.6,".325",".302",33,6.8,39.2,"76.055263602","94.00519162",22.6,49.9
"Buehler, Walker","621111","2021","815",26,6.4,".255",".272",29.2,6.8,37.1,"76.924388075","93.913201664",26.3,49.2
"Blackburn, Paul","621112","2021","175",14.9,5.7,".383",".353",32.8,8.8,51.1,"78.924261029","95.626280515",15.6,42.4
"Burr, Ryan","621114","2021","151",21.9,13.9,".298",".305",25,3.1,47.9,"81.068584348","95.326552609",24.1,44
"McCullers Jr., Lance","621121","2021","684",27,11.1,".283",".284",25.9,5.3,40.7,"79.44787034","94.33949129",30.2,41.6
"Cody, Kyle","621129","2021","55",25.5,3.6,".388",".371",36.1,8.3,47.2,"85.882612778","96.687637429",25.5,48.8
"Kriske, Brooks","621139","2021","56",19.6,10.7,".536",".354",26.3,10.5,47.4,"82.471143158","95.007381351",26,49.5
"Mills, Alec","621219","2021","517",16.8,6.6,".343",".333",33.2,4.9,39.3,"77.083020524","93.926398766",18.3,46
"Alvarado, José","621237","2021","251",27.1,18.7,".322",".313",32.6,3.9,42.6,"74.043986308","94.688599767",33.2,40.1
"Díaz, Edwin","621242","2021","257",34.6,8.9,".264",".251",33.8,5.1,26.5,"77.796261364","92.771592576",35.1,50.2
"Berríos, José","621244","2021","781",26.1,5.8,".286",".311",36.6,9.1,38.3,"76.730793307","94.151290078",23.7,47
"Garza Jr., Ralph","621248","2021","127",22.8,11,".309",".317",43.4,7.2,39.8,"78.005855476","94.059841807",23.8,46
"Underwood Jr., Duane","621249","2021","320",20.3,8.4,".333",".344",36.6,7.6,42.9,"78.54086027","94.212978507",23.8,45.4
"Koerner, Brody","621259","2021","13",7.7,15.4,".325",".379",22.2,0,33.3,"72.311704","93.084606667",12.5,30.8
"Oswalt, Corey","621261","2021","42",23.8,4.8,".345",".358",53.3,10,46.7,"81.494808667","94.781980345",31.8,56.4
"Wittgren, Nick","621295","2021","258",23.6,6.6,".331",".354",36,11.8,51.1,"81.643938864","95.875288864",26.3,46.4
"Minter, A.J.","621345","2021","221",25.8,9,".282",".269",31,4.2,35.2,"74.709862857","93.372801071",31.3,49.5
"Clay, Sam","621348","2021","214",15.9,10.3,".342",".335",29.4,5.9,40.5,"78.669766316","94.490507039",20.7,44.5
"Borucki, Ryan","621366","2021","98",21.4,11.2,".318",".325",20,7.7,36.9,"78.3201075","94.327301406",29.3,42.5
"Hearn, Taylor","621368","2021","441",20.9,9.5,".321",".335",37.3,7.9,38.3,"77.230150743","94.038760777",22.9,46.5
"Strahm, Matt","621381","2021","36",11.1,2.8,".441",".313",41.9,3.2,35.5,"76.117157333","93.810938966",20.3,58.1
"Castro, Anthony","621593","2021","109",29.4,7.3,".314",".300",24.2,12.1,47,"79.299746667","94.676501077",28.2,44.4
"Young, Alex","622065","2021","246",17.5,11,".389",".365",38.2,9.2,39.9,"80.451757093","94.314705322",26.8,49
